p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.500702338,0.498,0.183,0,0,MTFR1
0,0.499862966,0.374,0.136,0,0,ADRA1A
0,0.499706223,0.597,0.215,0,0,MAST2
0,0.498483902,0.46,0.163,0,0,AC098617.1
0,0.498455652,0.29,0.09,0,0,GABRB1
0,0.498446931,0.567,0.206,0,0,CACNA2D3
0,0.497268166,0.251,0.068,0,0,ASB11
0,0.496894646,0.759,0.286,0,0,CHPT1
0,0.495638098,0.469,0.166,0,0,RASGRP3
0,0.491987559,0.376,0.127,0,0,MPC1
0,0.491086904,0.642,0.236,0,0,MGAT5
0,0.490900506,0.292,0.093,0,0,ASB18
0,0.489098758,0.491,0.184,0,0,NHLRC2
0,0.488992528,0.867,0.343,0,0,PPFIBP1
0,0.488655096,0.984,0.495,0,0,QKI
0,0.487566553,0.539,0.198,0,0,ACO2
0,0.487329259,0.291,0.092,0,0,LINC01428
0,0.486205446,0.375,0.136,0,0,RPL3L
0,0.485498354,0.413,0.155,0,0,NDRG4
0,0.484785151,0.458,0.16,0,0,PEBP4
0,0.484590628,0.317,0.113,0,0,TMEM182
0,0.483205595,0.45,0.165,0,0,NRAP
0,0.482106238,0.456,0.168,0,0,DOCK3
0,0.481809288,0.391,0.144,0,0,NEK10
0,0.480926888,0.261,0.08,0,0,REEP1
0,0.479745588,0.302,0.102,0,0,SLC4A4
0,0.478550818,0.563,0.21,0,0,OGDH
0,0.478213312,0.41,0.155,0,0,C1orf168
0,0.477874283,0.375,0.135,0,0,RARB
0,0.477004472,0.5,0.188,0,0,HMGN3
0,0.476899567,0.511,0.188,0,0,TMEM117
0,0.476843371,0.296,0.1,0,0,SNRPN
0,0.473195428,0.7,0.278,0,0,FILIP1L
0,0.472569413,0.322,0.12,0,0,RP11-381K20.2
0,0.472531886,0.37,0.137,0,0,PRDM16
0,0.471935676,0.358,0.117,0,0,EIF1B
0,0.471141206,0.936,0.422,0,0,SYNPO2
0,0.471102566,0.39,0.146,0,0,SMYD2
0,0.470689792,0.474,0.18,0,0,ETFDH
0,0.470264269,0.349,0.129,0,0,ADCK3
0,0.470183319,0.283,0.093,0,0,SLCO5A1
0,0.470051905,0.932,0.404,0,0,PDE1C
0,0.469812266,0.661,0.251,0,0,ACSS3
0,0.469795869,0.498,0.184,0,0,ASAH1
0,0.468143992,0.28,0.097,0,0,ART3
0,0.467700678,0.234,0.066,0,0,RP11-223C24.1
0,0.46741568,0.27,0.089,0,0,KBTBD12
0,0.467019687,0.772,0.281,0,0,CPEB4
0,0.464159287,0.327,0.118,0,0,EXOG
0,0.464119997,0.458,0.172,0,0,GBAS
0,0.461985668,0.74,0.278,0,0,CRADD
0,0.461625431,0.353,0.136,0,0,CFAP61
0,0.459949832,0.214,0.052,0,0,IFNG-AS1
0,0.459385181,0.75,0.294,0,0,MSRB3
0,0.458331314,0.674,0.254,0,0,PALMD
0,0.458090061,0.378,0.145,0,0,GPAT3
0,0.456382928,0.269,0.079,0,0,DKK3
0,0.455811436,0.45,0.159,0,0,XIRP2
0,0.455607941,0.277,0.097,0,0,GMPR
0,0.453538041,0.293,0.108,0,0,SHROOM3
0,0.450138238,0.323,0.124,0,0,NDRG3
0,0.449526801,0.684,0.254,0,0,CSGALNACT1
0,0.449437713,0.261,0.084,0,0,BCL11A
0,0.449077775,0.933,0.443,0,0,DST
0,0.448127286,0.902,0.421,0,0,CACNA2D1
0,0.448107728,0.272,0.095,0,0,TMEM67
0,0.446906703,0.464,0.182,0,0,VPS8
0,0.445545581,0.725,0.296,0,0,MBNL2
0,0.445353929,0.79,0.328,0,0,ACYP2
0,0.445303559,0.32,0.117,0,0,GARNL3
0,0.443327507,0.434,0.164,0,0,IQCJ-SCHIP1
0,0.441966516,0.836,0.349,0,0,C9orf3
0,0.441964847,0.321,0.113,0,0,GRAMD1B
0,0.441792822,0.396,0.165,0,0,TMEM71
0,0.440869522,0.7,0.249,0,0,MYH6
0,0.440323505,0.243,0.073,0,0,ALS2CR11
0,0.439383694,0.537,0.212,0,0,CPEB3
0,0.439305509,0.315,0.124,0,0,SEMA3C
0,0.439169713,0.277,0.11,0,0,USP28
0,0.437159025,0.706,0.29,0,0,KTN1
0,0.436513468,0.197,0.056,0,0,RP11-390E23.3
0,0.436454457,0.443,0.172,0,0,CASQ2
0,0.436220195,0.227,0.065,0,0,ESRRB
0,0.435067411,0.308,0.121,0,0,CASZ1
0,0.434936741,0.546,0.215,0,0,TOM1L2
0,0.434862772,0.941,0.422,0,0,PDK4
0,0.434365463,0.603,0.242,0,0,NEK7
0,0.434114727,0.303,0.121,0,0,TMEFF2
0,0.43337855,0.613,0.248,0,0,KAT6B
0,0.433120319,0.88,0.443,0,0,PCDH9
0,0.433041184,0.634,0.271,0,0,PIK3R1
0,0.432694515,0.411,0.163,0,0,TRAK2
0,0.432213552,0.643,0.247,0,0,CBR4
